epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,3473.61,0.01245,1.24702,1.16982,0.7981,0.96988,0.95838,0.8084,0.0095,0.73298,0.94556,0.00154047,0.00154047,0.00154047
130,3500.39,0.01229,1.21952,1.16802,0.81046,0.98351,0.96581,0.8322,0.00825,0.68615,0.89788,0.00153389,0.00153389,0.00153389
131,3527.2,0.01239,1.24778,1.17467,0.78735,0.98478,0.96065,0.8028,0.0092,0.71978,0.93827,0.00152727,0.00152727,0.00152727
132,3553.99,0.01241,1.24182,1.16956,0.79094,0.98763,0.96461,0.79893,0.00948,0.7195,0.93284,0.00152063,0.00152063,0.00152063
133,3580.76,0.01232,1.24464,1.16516,0.79849,0.96907,0.96113,0.81894,0.00878,0.70213,0.92654,0.00151395,0.00151395,0.00151395
134,3607.57,0.01205,1.20589,1.15449,0.79512,0.98421,0.96331,0.79446,0.01021,0.71244,0.95602,0.00150724,0.00150724,0.00150724
135,3634.26,0.01244,1.25637,1.17673,0.81643,0.95258,0.9648,0.83178,0.00849,0.70369,0.91158,0.0015005,0.0015005,0.0015005
136,3661.03,0.01218,1.22642,1.15126,0.80826,0.96701,0.96258,0.81152,0.00893,0.72727,0.91521,0.00149374,0.00149374,0.00149374
137,3687.77,0.01214,1.19464,1.15285,0.86596,0.93242,0.97174,0.79412,0.01024,0.73069,0.96956,0.00148694,0.00148694,0.00148694
138,3714.55,0.01221,1.23787,1.15264,0.80889,0.98612,0.96538,0.80532,0.00963,0.72708,0.93606,0.00148011,0.00148011,0.00148011
139,3741.28,0.01226,1.1922,1.16027,0.79586,0.97938,0.96054,0.78758,0.01026,0.74836,0.97287,0.00147325,0.00147325,0.00147325
140,3768.07,0.01207,1.21065,1.15325,0.83442,0.96907,0.97061,0.79683,0.01004,0.70156,0.94693,0.00146636,0.00146636,0.00146636
141,3794.86,0.01213,1.19626,1.15329,0.82107,0.95876,0.96333,0.84504,0.00771,0.68712,0.89273,0.00145945,0.00145945,0.00145945
142,3821.82,0.01206,1.22131,1.15231,0.8325,0.93256,0.96435,0.79686,0.00971,0.72962,0.94665,0.00145251,0.00145251,0.00145251
